year,Balance,Revenue,Spending
1968,-2.798,17.01,-19.808
1969,0.33,19.025,-18.695
1970,-0.271,18.379,-18.6497
1971,-2.058,16.719,-18.777
1972,-1.917,17,-18.917
1973,-1.099,17.02,-18.12
1974,-0.413,17.711,-18.124
1975,-3.306,17.328,-20.634
1976,-4.118,16.649,-20.767
1977,-2.645,17.529,-20.175
1978,-2.598,17.538,-20.136
1979,-1.585,18.027,-19.612
1980,-2.64,18.49,-21.129
1981,-2.516,19.095,-21.611
1982,-3.862,18.642,-22.503
1983,-5.868,16.96,-22.828
1984,-4.689,16.86,-21.549
1985,-4.972,17.189,-22.161
1986,-4.877,16.956,-21.834
1987,-3.131,17.865,-20.996
1988,-3.01,17.638,-20.648
1989,-2.74,17.794,-20.534
1990,-3.737,17.448,-21.185
1991,-4.406,17.266,-21.673
1992,-4.512,16.958,-21.47
1993,-3.754,16.988,-20.742
1994,-2.823,17.485,-20.308
1995,-2.162,17.826,-19.988
1996,-1.347,18.213,-19.559
1997,-0.258,18.616,-18.874
1998,0.774,19.227,-18.453
1999,1.321,19.215,-17.894
2000,2.328,19.956,-17.628
2001,1.214,18.847,-17.633
2002,-1.45,17.037,-18.488
2003,-3.332,15.728,-19.059
2004,-3.414,15.553,-18.967
2005,-2.47,16.709,-19.179
2006,-1.814,17.588,-19.402
2007,-1.122,17.929,-19.051
2008,-3.108,17.109,-20.217
2009,-9.8,14.603,-24.404
2010,-8.747,14.614,-23.361
2011,-8.45,14.978,-23.428
2012,-6.782,15.286,-22.068
2013,-4.114,16.803,-20.917
2014,-2.81,17.522,-20.333
2015,-2.438,18.072,-20.511
2016,-3.165,17.693,-20.859
2017,-3.469,17.291,-20.761
