spending,deficit,year
20.989,-2.798,1968
19.815,0.33,1969
19.7447,-0.271,1970
20.034,-2.058,1971
20.075,-1.917,1972
19.449,-1.099,1973
19.547,-0.413,1974
21.771,-3.306,1975
21.862,-4.118,1976
21.235,-2.645,1977
21.138,-2.598,1978
20.608,-1.585,1979
22.171,-2.64,1980
22.817,-2.516,1981
23.59,-3.862,1982
24.108,-5.868,1983
22.668,-4.689,1984
23.264,-4.972,1985
22.845,-4.877,1986
22.103,-3.131,1987
21.75,-3.01,1988
21.614,-2.74,1989
22.158,-3.737,1990
23.399,-4.406,1991
22.547,-4.512,1992
21.712,-3.754,1993
21.26,-2.823,1994
21.025,-2.162,1995
20.449,-1.347,1996
19.881,-0.258,1997
19.386,0.774,1998
18.73,1.321,1999
18.427,2.328,2000
18.479,1.214,2001
19.319,-1.45,2002
19.95,-3.332,2003
19.868,-3.414,2004
20.177,-2.47,2005
20.457,-1.814,2006
20.293,-1.122,2007
21.474,-3.108,2008
25.7539,-9.8,2009
24.689,-8.747,2010
24.786,-8.45,2011
23.492,-6.782,2012
22.762,-4.114,2013
21.941,-2.81,2014
21.948,-2.438,2015
22.145,-3.165,2016
22.08,-3.469,2017
